old_count	cur_count	occ_diff	node_title	node_key	datasetkey
0	3	3	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	0039568a-c692-4e60-9d53-2a08a81f73a2
55	55	0	Atlas of Living Australia	4a6f1b71-969e-4fc5-a693-282b05e1220c	01a6caea-b201-4495-b511-1adf1384e790
3181	3181	0	GBIF Argentina	2426a871-9feb-40a1-96c6-0c593a76b835	023e40d3-1cd2-479c-a166-10c9ec0a2e68
0	12	12	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	03a2c74a-880e-47f5-bfd4-f476e092cb11
123	60	-63	GBIF Germany	4f6826f2-4ff6-443d-b966-e6913bd24013	03c01aa9-a13d-4cab-bf85-f59149bf8d9a
0	1	1	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	03f1dc7f-91ac-4cd1-a76c-f443327b3b63
0	1	1	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	06b9e416-65a8-4d50-a89f-51ae82e46cf7
4	4	0	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	089484c7-02f5-446f-9ea5-9412b928d445
43	43	0	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	09960718-2a2d-4c3d-aa20-b52192ff97c8
0	203	203	Ocean Biodiversity Information System	ba0670b9-4186-41e6-8e70-f9cb3065551a	0c2781fe-8351-4904-95e5-f6309383b8a6
0	3	3	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	0d3127fb-4a68-4a7e-ae88-0e2379df2b11
0	1958	1958	Ocean Biodiversity Information System	ba0670b9-4186-41e6-8e70-f9cb3065551a	0d3a548b-0b12-4294-aeeb-9b7c2abe91b7
897	897	0	GBIF Germany	4f6826f2-4ff6-443d-b966-e6913bd24013	0ebf1f88-0b36-4600-8806-d32c36928b8e
0	1259	1259	Ocean Biodiversity Information System	ba0670b9-4186-41e6-8e70-f9cb3065551a	13e9f818-b526-4fec-ac49-41e9b1477c79
0	218	218	Participant Node Managers Committee	7f48e0c8-5c96-49ec-b972-30748e339115	15131f03-846d-4fcf-9ca7-58c74a489d41
1741	1741	0	U.S. Geological Survey	8618c64a-93e0-4300-b546-7249e5148ed2	155ad75a-6721-4fc5-9c94-4eef447ee650
44332	44332	0	National Biodiversity Network	d897a5b9-35ee-4232-94bd-b0bcaac003c2	1637bc3e-a70e-460a-858b-4013e0bc9837
15866	15871	5	U.S. Geological Survey	8618c64a-93e0-4300-b546-7249e5148ed2	16965647-4120-4e0b-aa57-1eeaf028606e
51	51	0	GBIF France	da44cd31-5901-4687-a106-6d1c7734ee3a	16fc9fb3-bc75-43d5-8fc2-3943a0c0a11f
217	217	0	GBIF France	da44cd31-5901-4687-a106-6d1c7734ee3a	19a61bf8-0273-4221-8614-ebd85ff97267
274291	274291	0	GBIF Sweden	a0b3be64-6525-4387-ac67-a499950f92e1	1b7e83a0-0c61-11dd-84ce-b8a03c50a862
0	3	3	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	1f5c0367-f6f8-4aa3-975c-609db7b47393
0	10	10	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	206a01fd-06cd-4a0f-aab9-b0fb99ea0ebd
3	3	0	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	2073ef0b-1a52-4fd0-afdd-878b4e552f23
48	48	0	GBIF Germany	4f6826f2-4ff6-443d-b966-e6913bd24013	229be5b0-ef0c-48e4-aea2-6f8e9b449692
0	108	108	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	24969123-dce4-499a-aa81-55469cf1713a
6	6	0	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	26d0aead-2a95-45eb-ba6b-0f908acca2ad
6	6	0	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	28289524-0ad1-43c3-bb8d-2b785ff89089
93599	93599	0	GBIF France	da44cd31-5901-4687-a106-6d1c7734ee3a	28646617-3f8e-4910-849e-e3776e3fec78
0	6	6	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	289d604f-b447-4be5-871a-588cdd5174c6
1680	1680	0	Biodiversity Information System of Mexico	b324e8e9-9a4c-44fa-8f1a-7f39ea7ab576	2b2c9de5-3484-41f5-8b47-950c093ef205
2778	2778	0	National Biodiversity Network	d897a5b9-35ee-4232-94bd-b0bcaac003c2	2d9b6f1e-1d6b-4b65-8978-23f04b4c349c
0	7000	7000	GBIF Japan	db5705aa-6a6e-42f1-8942-d77b9f4896ea	329dd7e5-9beb-4316-8991-b1fba8b2fa08
619	366	-253	GBIF Germany	4f6826f2-4ff6-443d-b966-e6913bd24013	3399fdfc-72cb-476d-99d1-39b2904e2be1
0	229	229	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	34162c15-e5a8-4085-9bfd-be4dc280d20e
0	4	4	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	35f10e05-cebc-46cf-9c89-10574eb8142c
3	3	0	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	394484e3-2479-4267-a6cb-141cb0825652
0	9	9	Plazi	ffb07bec-2d10-492d-9c37-361fe0b79427	3d530979-f717-4373-98e4-a213341083d3
